NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81,NO_CURSO,Instituicao,Sigla,Municipio,UF
2017,2564,1,10028,2402,13405,1,2503704,25,2,24,F,2010.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,BEDDCEBA,1100.0,DDCCCBEAEBCCDBAADDABCEDEDED,100090011110009000101900001,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,36.4,45.6,25.0,76.5,58.0,70.0,55.0,95.0,75.0,100.0,33.3,33.3,33.3,0.0,0.0,100.0,C,C,B,B,B,C,B,B,D,A,C,A,B,B,B,C,A,B,A,A,A,A,A,A,24.0,A,A,B,C,A,B,B,E,H,F,6.0,3.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,6.0,5.0,1.0,1.0,3.0,4.0,2.0,4.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,D,C,I,I,A,A,C,B,A,B,B,B,B,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,23,M,2013.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,DCCBCEAD,1011111.0,BBDAEADAEBDDDAAEEBAACDBEABC,011191111100019101101900100,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,66.3,78.8,75.0,84.5,95.0,75.0,100.0,74.0,70.0,75.0,62.1,58.3,83.3,75.0,75.0,100.0,C,C,B,B,B,C,B,D,D,A,D,A,B,B,B,E,A,A,A,H,E,D,A,A,23.0,A,A,A,G,B,E,B,E,E,F,6.0,5.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0,5.0,3.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,6.0,6.0,4.0,3.0,1.0,5.0,3.0,4.0,6.0,2.0,4.0,5.0,4.0,3.0,3.0,1.0,2.0,6.0,6.0,4.0,A,B,B,C,A,B,C,A,A,B,B,B,B,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,24,M,2010.0,2013.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,BBDDCEDD,1101.0,BBCBAECDBABDDCEEABABCCCDCCC,010090000000009101101900000,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,27.3,48.5,37.5,65.0,77.0,65.0,80.0,53.0,65.0,50.0,20.2,20.8,16.7,0.0,25.0,25.0,C,D,C,A,A,C,B,B,C,A,A,A,D,D,B,D,A,B,A,A,A,F,A,A,25.0,A,A,B,A,B,C,C,E,E,F,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,4.0,3.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,4.0,7.0,7.0,4.0,7.0,5.0,5.0,5.0,A,A,I,I,A,B,C,A,A,B,C,A,A,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,21,F,2013.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,DCABEEAD,1010111.0,DBCCDBABEBCBEAAEEBEACADADDD,110090001110119101001901011,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,555.0,555.0,54.6,68.9,62.5,78.5,65.0,65.0,65.0,92.0,60.0,100.0,49.8,54.2,25.0,0.0,25.0,50.0,C,C,B,C,C,C,B,D,D,A,A,A,C,B,B,E,B,B,A,A,A,C,A,A,25.0,B,A,B,E,A,E,C,E,H,A,4.0,4.0,4.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,8.0,8.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,7.0,6.0,4.0,4.0,D,B,I,I,A,B,C,B,E,B,C,B,B,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,28,M,2007.0,2017.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,,,,,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,D,B,F,B,B,A,H,E,F,A,F,25.0,A,A,B,H,B,B,B,E,G,E,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A,B,B,D,A,B,D,C,A,C,D,D,A,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,24,M,2010.0,2013.0,4.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,EBDBEEAC,10110.0,BADBDBAEBACEEDCADEBEADBBADD,001090000011109000010900111,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,34.8,48.9,37.5,66.0,61.0,45.0,65.0,71.0,75.0,70.0,30.1,33.3,11.7,0.0,0.0,35.0,D,D,C,C,D,D,B,D,D,A,D,A,C,D,B,F,A,B,A,A,A,A,A,A,25.0,A,A,B,C,A,C,C,E,G,A,4.0,2.0,1.0,5.0,5.0,3.0,5.0,6.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0,4.0,5.0,5.0,6.0,4.0,6.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,3.0,5.0,3.0,2.0,2.0,2.0,5.0,2.0,5.0,3.0,6.0,D,D,I,I,A,C,C,A,A,B,B,A,A,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,33,M,2005.0,2011.0,4.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,BDCBCEDE,11100.0,AEDACACBDBBCDEEEEDBCCDEAADD,001191000100009100001911111,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,44.2,51.7,37.5,73.0,74.0,90.0,70.0,72.0,60.0,75.0,41.7,45.8,18.3,20.0,25.0,10.0,D,C,C,A,A,C,B,B,D,A,D,A,D,B,B,E,A,C,E,A,A,A,A,A,25.0,A,A,A,K,B,C,B,E,H,C,8.0,7.0,6.0,3.0,6.0,4.0,5.0,3.0,5.0,4.0,2.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,8.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,D,J,I,I,A,C,D,A,E,C,C,A,A,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,28,F,2009.0,2010.0,4.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,DBBACEDD,101101.0,BBCADACBCEABECCEEBEBCCCAAED,010191000000109101001901101,555.0,555.0,555.0,333.0,555.0,555.0,333.0,333.0,336.0,336.0,336.0,34.1,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4,41.7,0.0,0.0,0.0,0.0,D,D,B,A,A,B,C,C,D,A,D,A,A,A,C,E,A,B,A,A,A,A,A,A,25.0,A,A,B,C,B,D,B,E,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0,2.0,5.0,8.0,6.0,5.0,6.0,A,A,B,C,A,C,C,C,A,A,A,B,B,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,21,M,2013.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,BECBCEBD,11101.0,EBDBDADACBEADBDEAACCCCCCCCC,011091110100009100001900000,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,555.0,555.0,38.9,59.4,50.0,73.5,75.0,75.0,75.0,72.0,80.0,70.0,32.1,33.3,25.0,0.0,25.0,50.0,C,C,B,B,B,C,B,D,D,A,A,A,E,C,B,D,C,C,D,A,A,D,A,D,25.0,A,A,A,G,A,E,B,A,E,A,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,A,A,I,I,A,A,C,A,C,B,A,B,B,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,23,F,2013.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,EDBBCEDB,111100.0,DACACDEDDBABBAEBEBEACDEAADD,100190000100019001001911111,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,333.0,47.6,62.2,50.0,80.5,69.0,65.0,70.0,92.0,60.0,100.0,42.7,45.8,25.0,75.0,0.0,0.0,A,C,A,B,D,C,C,D,E,A,D,A,D,B,B,H,C,B,A,A,C,C,A,A,25.0,A,A,B,A,A,B,B,E,H,A,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,4.0,5.0,4.0,3.0,6.0,5.0,6.0,5.0,4.0,6.0,3.0,3.0,5.0,6.0,8.0,3.0,2.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,8.0,8.0,3.0,4.0,6.0,4.0,3.0,A,J,I,I,A,B,C,D,A,B,B,B,C,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,20,M,2013.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,CABABEBE,10100100.0,DCAADADBDCAADAEEDDEEADEADBD,100191100000019100010911001,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,41.4,45.1,37.5,56.5,67.0,75.0,65.0,46.0,50.0,45.0,40.2,41.7,31.7,35.0,25.0,35.0,D,E,C,B,C,D,B,B,B,A,D,A,B,B,B,D,A,A,A,A,F,D,A,A,25.0,A,A,A,B,B,C,D,E,H,C,5.0,4.0,5.0,6.0,4.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,5.0,2.0,3.0,5.0,4.0,6.0,7.0,3.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,4.0,5.0,B,B,I,I,A,A,C,C,E,B,B,B,A,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,22,F,2012.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,BCABCEAD,1011111.0,BBDBDADADDAAEAAEEBAACAEAAAD,011091110000119101101911101,555.0,555.0,555.0,555.0,555.0,555.0,336.0,555.0,555.0,555.0,555.0,58.3,59.6,75.0,36.5,0.0,30.0,0.0,73.0,65.0,75.0,57.9,62.5,31.7,20.0,0.0,75.0,C,C,D,B,C,D,A,D,D,A,D,A,E,F,B,E,C,B,C,A,A,C,A,A,25.0,B,A,B,C,A,E,D,D,E,C,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,5.0,6.0,5.0,5.0,3.0,6.0,5.0,4.0,6.0,6.0,6.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,4.0,6.0,3.0,3.0,1.0,2.0,1.0,6.0,6.0,2.0,A,I,H,C,A,B,C,B,A,B,B,B,C,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,21,F,2013.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,BCCDCEBB,1001100.0,CBBAAAEADDBDDADEEDAACECBDCD,010191010000019100101900001,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,41.1,56.7,37.5,85.5,95.0,75.0,100.0,76.0,80.0,75.0,35.9,37.5,26.7,10.0,50.0,20.0,C,C,D,B,C,C,B,C,E,A,D,A,B,B,B,E,A,A,A,A,E,A,A,E,25.0,A,A,B,C,B,C,D,E,E,A,5.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,5.0,1.0,3.0,5.0,5.0,6.0,5.0,5.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,A,A,I,I,A,A,C,A,A,B,B,B,B,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,33,F,2003.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,CCABCEAB,11011110.0,CADADBCBBBBDDEEEEBEACDDBADD,001190000100009101001900111,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,42.5,65.4,75.0,51.0,74.0,50.0,80.0,28.0,40.0,25.0,34.9,37.5,20.0,25.0,25.0,10.0,D,C,B,B,A,B,A,D,C,B,D,A,A,B,C,B,A,B,A,A,A,A,A,A,25.0,A,A,B,C,B,B,C,E,H,A,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,7.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,A,C,I,I,A,C,B,C,A,B,C,B,A,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,42,F,2005.0,2015.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,,,,,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,22,F,2013.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,BCDBCECD,1011101.0,DBDAAADBECCBDABECAADCDEBADD,111191101010019110101910111,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,61.2,58.9,62.5,53.5,54.0,50.0,55.0,53.0,65.0,50.0,61.9,70.8,11.7,10.0,25.0,0.0,C,C,C,A,A,B,,D,D,A,F,A,A,B,B,D,A,B,A,A,C,C,A,A,25.0,A,E,D,H,B,C,E,E,H,A,5.0,6.0,6.0,1.0,5.0,6.0,6.0,6.0,5.0,6.0,1.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,4.0,2.0,2.0,6.0,4.0,8.0,2.0,1.0,4.0,3.0,5.0,5.0,5.0,6.0,5.0,1.0,1.0,3.0,5.0,1.0,4.0,4.0,1.0,A,J,I,I,A,B,C,C,A,B,C,A,D,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,23,F,2011.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,BDDBEEED,10101.0,DBDDABCABBDEDAEAEAEBCECCDBA,111090010101019000001900000,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,35.0,43.5,37.5,52.5,74.0,70.0,75.0,31.0,55.0,25.0,32.1,33.3,25.0,0.0,0.0,75.0,C,C,A,C,C,B,D,D,B,A,C,A,A,B,B,C,A,B,A,A,A,D,A,C,23.0,A,A,B,K,B,C,E,E,H,E,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,7.0,7.0,7.0,1.0,3.0,3.0,4.0,7.0,4.0,4.0,1.0,3.0,2.0,3.0,1.0,3.0,5.0,2.0,A,J,I,I,A,A,B,C,A,B,B,C,C,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,23,F,2012.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,BCBBCEED,1111101.0,DCDADBDBEBCDDDEAEBEACDEDDDD,101190101110009001001910011,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,52.9,73.6,75.0,71.5,90.0,50.0,100.0,53.0,65.0,50.0,46.0,50.0,23.3,35.0,25.0,10.0,D,C,C,D,B,B,C,D,C,B,D,A,B,C,C,B,A,A,A,H,F,F,A,A,25.0,D,A,B,I,A,E,E,E,E,F,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,A,A,H,C,E,B,C,D,A,A,A,A,A,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,29,F,2006.0,2012.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,AADEDCAA,10.0,DDECAABCDBBCABDAABCCDDDEABD,100091000100009001000900101,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,24.2,25.5,12.5,45.0,79.0,75.0,80.0,11.0,55.0,0.0,23.8,25.0,16.7,0.0,0.0,50.0,,,,,,,,,,A,D,A,C,B,B,D,A,B,A,A,A,A,A,A,25.0,A,A,B,C,B,B,B,E,E,C,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,A,A,I,I,A,A,B,E,A,B,B,A,A,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,23,M,2012.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,ECADCEDD,1001101.0,DBEBDADEEEABBBEDCDACCADADBD,110091101000009010101901001,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,40.3,53.4,50.0,58.5,51.0,55.0,50.0,66.0,50.0,70.0,35.9,41.7,3.3,0.0,0.0,10.0,D,D,C,B,B,C,B,A,B,A,A,A,B,D,B,C,C,B,A,A,B,A,A,D,25.0,A,A,A,A,A,C,D,A,A,A,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,5.0,6.0,6.0,5.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,6.0,6.0,3.0,A,A,I,I,A,B,C,B,A,B,B,A,B,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
2017,2564,1,10028,2402,13405,1,2503704,25,2,27,F,2009.0,2014.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,DCCBEEBB,1010100.0,DDAAECEBEBCBBACCEBAAAABABAA,100190001110019001100901000,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,39.8,50.7,37.5,70.5,66.0,50.0,70.0,75.0,75.0,75.0,36.1,37.5,28.3,0.0,25.0,60.0,C,C,D,A,C,D,A,A,D,A,D,A,B,C,E,D,A,C,A,A,F,F,A,D,29.0,A,A,A,B,B,D,D,E,H,A,7.0,7.0,5.0,5.0,5.0,4.0,5.0,7.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,6.0,6.0,7.0,6.0,3.0,4.0,7.0,5.0,4.0,7.0,8.0,8.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,7.0,5.0,5.0,4.0,8.0,5.0,8.0,5.0,A,J,I,I,A,A,C,A,A,C,C,B,A,HISTÓRIA,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Campina Grande,PB
